/node0/timestamp,/node0/temperature,/node0/humidity
1647372999.143555,21.37,0.54
1647373004.3471882,21.39,0.54
1647373008.5153434,21.37,0.54
1647373013.7061613,21.36,0.54
1647373018.8955522,21.36,0.54
1647373024.1017625,21.36,0.54
1647373029.2984662,21.36,0.54
1647373033.4773688,21.36,0.54
1647373038.656736,21.36,0.55
1647373043.8654523,21.39,0.55
1647373049.0751588,21.36,0.55
1647373054.2742546,21.36,0.55
1647373059.4566166,21.35,0.54
1647373063.6296833,21.35,0.55
1647373068.8130236,21.36,0.55
1647373074.017092,21.35,0.55
1647373079.221296,21.36,0.54
1647373084.418745,21.37,0.54
1647373088.5850089,21.35,0.54
1647373093.7822285,21.36,0.54
1647373098.9961474,21.3,0.54
1647373104.1857736,21.32,0.55
1647373109.3855832,21.36,0.54
1647373114.5928113,21.35,0.55
1647373118.7411592,21.36,0.55
1647373123.945822,21.36,0.54
1647373129.1470287,21.36,0.55
1647373134.3487794,21.33,0.55
1647373139.5486746,21.35,0.55
1647373143.695593,21.35,0.54
1647373148.9014742,21.33,0.54
1647373154.105574,21.36,0.54
1647373159.2967117,21.35,0.54
1647373164.5037415,21.36,0.54
1647373169.7072432,21.37,0.54
1647373173.8602188,21.36,0.54
1647373179.0632675,21.36,0.54
1647373184.257274,21.37,0.54
1647373189.4623566,21.36,0.54
1647373194.6686702,21.35,0.54
1647373198.8311853,21.36,0.54
1647373204.0266643,21.37,0.54
1647373209.2220662,21.4,0.54
1647373214.4198086,21.37,0.54
1647373219.6229553,21.37,0.54
1647373224.824844,21.36,0.54
1647373228.98994,21.36,0.54
1647373234.197171,21.39,0.54
1647373239.386324,21.37,0.55
1647373244.5864854,21.39,0.55
1647373249.7730002,21.39,0.54
1647373253.935631,21.37,0.54
1647373259.1415963,21.37,0.54
1647373264.3438907,21.39,0.54
1647373269.5498662,21.39,0.54
1647373274.7576559,21.42,0.54
1647373279.9417644,21.39,0.54
1647373284.11819,21.42,0.54
1647373289.3078911,21.4,0.54
1647373294.5018177,21.4,0.54
1647373299.6954556,21.42,0.54
1647373304.9109404,21.4,0.54
1647373309.0614195,21.4,0.54
1647373314.2761552,21.4,0.54
1647373319.4599776,21.42,0.54
1647373324.6535306,21.4,0.54
1647373329.8757534,21.4,0.54
1647373334.0147614,21.43,0.54
1647373339.2244027,21.43,0.54
1647373344.4229312,21.46,0.54
1647373349.616879,21.45,0.54
1647373354.8235679,21.43,0.54
1647373360.0262144,21.43,0.54
1647373364.1913297,21.42,0.54
1647373369.376475,21.42,0.54
1647373374.5845852,21.37,0.54
1647373379.7743676,21.42,0.54
1647373384.998298,21.45,0.54
1647373389.1427758,21.43,0.54
1647373394.35696,21.46,0.54
1647373399.5382051,21.45,0.54
1647373404.7420027,21.42,0.54
1647373409.9472277,21.42,0.54
1647373415.137455,21.4,0.54
1647373419.31148,21.42,0.54
1647373424.4954984,21.39,0.54
1647373429.698556,21.43,0.54
1647373434.9085836,21.42,0.54
1647373440.1134121,21.4,0.54
1647373444.2629056,21.42,0.54
1647373449.471107,21.43,0.54
1647373454.6786983,21.42,0.54
1647373459.8543715,21.43,0.54
1647373465.065439,21.42,0.54
1647373470.2532601,21.43,0.54
1647373474.4316149,21.43,0.54
1647373479.6117575,21.45,0.54
1647373484.8130112,21.43,0.54
1647373490.012843,21.45,0.54
1647373495.2357523,21.43,0.54
1647373499.3772717,21.42,0.54
